id,conversation_id,customer_message,intent,state_info_provided,state_troubleshoot_attempted,state_issue_recurring,state_billing_related,state_device_type,risk,expected_action,expected_outcome,should_escalate,expected_decision,difficulty,labeler_notes
GOLD_0011,1778503,"@115888 @117168 I’ve been trying to cancel my subscription for two months now, and this makes the third month you’ve charged me. Send help! SOS",SUBSCRIPTION_BILLING_PREMIUM,True,False,False,True,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0012,1384526,@SpotifyCares hey there. I see you're offering premium for 99 cents for 3 months. Can you apply that to my current premium account?,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,False,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0013,1842978,"Hey @115888, my both accounts are premium. What do I do now? https://t.co/nlBVFOwNz2",SUBSCRIPTION_BILLING_PREMIUM,True,False,False,False,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0014,1736600,@SpotifyCares I cancelled my subscription but was still charged 🙁,SUBSCRIPTION_BILLING_PREMIUM,True,False,True,True,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0015,1736598,@SpotifyCares Trying to buy premium on a Visa gift card with enough money on it for premium.  I have checked on the balance status site numerous times but the payment method won't accept.  What's the deal?,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,True,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0016,2466924,@SpotifyCares hey my names John I keep getting charges from spotify that I don't want I don't remember my login stuff to remove my card from the account is there anyway y'all can help,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,True,unknown,MEDIUM,REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0017,2466936,@117153 what is going on. Cannot login. I am premium user not able to use your Services.,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,False,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0018,1790143,@SpotifyCares Hey Spotify team! I recently upgraded to Premium on one of the black friday deals and I'm still getting a fair amount of ads. Any idea what might be up? Thanks!,SUBSCRIPTION_BILLING_PREMIUM,True,False,True,False,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0019,1790145,@115888 hey Spotify if I get the 3 month premium trial does it also include playing any song I want?,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,False,unknown,MEDIUM,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0020,44304,"Ah, wonderful. A random person is listening to my @115888 Premium account in France. No idea how I've been hacked, but suppose it can happen on any service.",SUBSCRIPTION_BILLING_PREMIUM,True,False,False,False,unknown,HIGH,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,True,ESCALATE,Hard,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0021,1950478,"@SpotifyCares I have a paid subscription but it is still saying it’s a free account and playing ads, no skips etc.
Can someone please help?",SUBSCRIPTION_BILLING_PREMIUM,True,False,True,True,unknown,MEDIUM,REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0022,1950482,@SpotifyCares I signed up for Premium 3 month trial two days ago. I am getting advertisements on my iPad. Why,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,False,iPad,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0023,2038953,"@SpotifyCares Hi, I have question about my account - I have two accounts and one is premium but I can't remember the log in details. I can see the payments lifting from my bank account... can you help?",SUBSCRIPTION_BILLING_PREMIUM,True,False,False,True,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0024,1778457,"@SpotifyCares Hello, I saw an ad saying 99 cents for 3 months. I clicked on it and it took me to page where I logged in ( new user, never been activated for premium ). I was charged 9.99 on my credit card. __email__ is the email",SUBSCRIPTION_BILLING_PREMIUM,True,False,False,True,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0025,2108118,@SpotifyCares hi am having problems with upgrading to premium.. I was on  trail for 7days its over now I've tried to upgrade keeps saying card failed.. Do we now have to pay straight away when upgrading??,SUBSCRIPTION_BILLING_PREMIUM,True,True,True,True,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0026,1666485,@117153 I'm trying to buy spotify premium and it is not letting my payment go through.,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,True,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0027,2164327,@SpotifyCares So I am a previous member of Spotify premium but had cancelled my membership due to not wanting to pay at the time. So now I have a new phone and am trying to log in to Spotify and it says my email is used by a Facebook login. So I try logging in via Facebook...,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,False,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0028,2201026,@SpotifyCares if i cant use my australian card to buy the upgrade why keep telling me to upgrade and keep showing ad's maybe fix it or release australian cards so i can buy it without ad's,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,True,unknown,MEDIUM,REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0029,1630494,@spotifycares trying to buy a premium gift card and your web site check out is not working. Can you assist?,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,True,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0030,1778465,@SpotifyCares and they have been being charged since 2013 with almost 0 use of Spotify.,SUBSCRIPTION_BILLING_PREMIUM,True,False,False,True,unknown,MEDIUM,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for SUBSCRIPTION_BILLING_PREMIUM. Ground truth verified from dialogue trajectory.
GOLD_0031,1698015,@115888 All songs keep cutting in and out. Updated app and still happening. Only happening to audio from spotify. Please look into this.,PLAYBACK_STREAMING_AUDIO,True,True,True,False,unknown,LOW,REQUEST_INFORMATION,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0032,1736602,"@SpotifyCares are there any plans to fix the ps4 app? It is horrible compared to the mobile app. Freezes all the time, doesn't play music when tracks change sometime, just a disappointing product overall.",PLAYBACK_STREAMING_AUDIO,True,False,False,False,Smart TV/Console,LOW,TROUBLESHOOT_UPDATE,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0033,1790137,HELLO????? SKIP ADS? ANYONE THERE? @115888,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0034,1790132,Am I the one with HUGE problems with @115888 (songs that don't play or suddenly stop playing) when using a Chromecast? @SpotifyCares,PLAYBACK_STREAMING_AUDIO,True,False,False,False,Smart TV/Console,LOW,REQUEST_INFORMATION,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0035,1822610,"Why does @115888 seem to think that when I put in and hit shuffle play on something specific that I want to hear ""suggested songs""? If I wanted something suggested because the artist has other stuff then I would go to the artists other stuff. Get your crap together @115888",PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0036,1790176,Why are the ads on Spotify so damn annoying? They are so loud with booming music and screaming people... STOP @115888,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,ESCALATE_INTERNAL,ESCALATED,True,ESCALATE,Medium,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0037,2038966,Spotify would completely take over the music streaming market if they let you stream mixtapes. Some artists best work are on mixtape. @115888 @117168 @SpotifyCares,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0038,2201042,@115888 You guys have the worst user interface on pc and mobile. You can't find your way to a specific album or song without having to dig through all the folders. I listen to pretty much the same songs all the time but it still takes like 6 clicks just to play a song.,PLAYBACK_STREAMING_AUDIO,True,False,True,False,Windows/PC,MEDIUM,PROVIDE_GENERAL_ASSISTANCE,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0039,2164323,When you create a playlist full of your favourite songs and @115888 just decides to play any other songs than the ones that you added. Smh!!!!,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFORMATION,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0040,1666493,"@118266 om/tante, kalo kita stream pake vpn indo bakal kehitung ga ya buat chart billboard?",PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0041,1630480,"@115888 When will ""Reputation"" be streaming on Spotify ?",PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0042,2219852,When Spotify starts skipping like a scratched CD... authentic...,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFORMATION,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0043,2394372,Hey @SpotifyCares   Wife and I just got several Google home minis. We want to play two separate things in separate rooms. But when another person starts music the first Home shuts off. Can we do what we want?,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0044,2489542,"@SpotifyCares also, a screenshot isn't going to show the track the keep playing when no audio is.... so I don't know how that will help.",PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFO_AND_REDIRECT_DM,LIKELY_RESOLVED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0045,1790168,Really wish @SpotifyCares can stop removing @139985 's songs 🙄,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,EXPLAIN_POLICY_OR_CATALOG,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0046,2545284,"It would be nice to be able to stream the clean versions of songs

Cc: @115888",PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0047,2577796,Why won’t LA Lights by @139985  play on my @115888 ???,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFORMATION,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0048,2577791,@SpotifyCares my music keeps pausing and skipping whenever I have my headphones plugged in on iphone 7. Its so annoying im paying for this service and I cant even listen to my music anymore?!!,PLAYBACK_STREAMING_AUDIO,True,False,True,False,iPhone,MEDIUM,REQUEST_INFORMATION,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0049,2603343,My @115888 playlists play on shuffle even if I din’t play them on shuffle.,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFORMATION,RESOLVED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0050,2368014,"Hi @115888, can I save/bookmark the last played position in a audio book?",PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFORMATION,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0051,2545278,@SpotifyCares And after nearly 2 hrs of redownloading everything it does not sound as good as before either. Wtf is going on?? Im very upset!!!,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0052,2201018,@115888 y’all wanna stop shuffling and playing songs i never put in my playlist https://t.co/Mia2CUzvAj,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0053,2807547,"@SpotifyCares why is it that when the app is playing on my av receiver and has been minimised on my HTC m9, the moment I go back to it it cancels playback on my receiver and stops it on phone. It's borderline unusable.",PLAYBACK_STREAMING_AUDIO,True,False,False,False,Android,LOW,REQUEST_INFORMATION,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0054,2200997,"@117168 My apps have been going crazy here lately. Playing on devices not authorized, devices that don’t exist, etc. Also just stops playing for some reason. Any suggestions?",PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0055,2201048,i press shuffle play for bts on spotify and i get craig david,PLAYBACK_STREAMING_AUDIO,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYBACK_STREAMING_AUDIO. Ground truth verified from dialogue trajectory.
GOLD_0056,1698032,@SpotifyCares any plans to allow podcasts to be added to playlists? Needed for my mighty!,PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,REQUEST_INFO_AND_REDIRECT_DM,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0057,1231177,"@115888 @SpotifyCares please let me swipe on a track to add it to my queue on the android app; just switched from iOS and the extra clicks are painful. My only gripe with a great app, love you guys!",PLAYLIST_LIBRARY_CATALOG,True,False,False,False,iPhone,LOW,PROVIDE_GENERAL_ASSISTANCE,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0058,1790183,"Dear @115888 :
You should talk with Hollywood Records and upload all the Jonas Brothers Discography. You would make the world a better place. 
Thanks! 
@71751 @65044 @15221 @246535",PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0059,1790181,"Hey @SpotifyCares maybe, just maybe it only impacts 1% of your users because those that hit the limit leave. Or they work around it and just accept a crap user experience (that was me for years, messing with nested playlists until I got sick of it).

https://t.co/NrkgwUM7yQ",PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,ESCALATE_INTERNAL,ESCALATED,True,ESCALATE,Medium,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0060,1790135,@117168 needs to get its shit together and let me listen to my dad songs playlist and cry ok.,PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,REQUEST_INFORMATION,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0061,1822594,@115888 why is banjo Dixieland playlist playing pop music ?,PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,PROVIDE_GENERAL_ASSISTANCE,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0062,1950484,Wait what do you mean I can only listen to music on shuffle this is such bullshit @115888 https://t.co/azWICyArb8,PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0063,1843947,"@115888 we are all dying to have the entire reputation album already please, save our lives",PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0064,1790149,@115888 when ya going to let me see who’s following my playlists?,PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,PROVIDE_GENERAL_ASSISTANCE,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0065,2826160,"@125633 The contact form on your website doesn't work... ""Uh oh. Something went wrong."" No other way of getting in touch, apparently. Can someone help me??? There are two ""Auralponic"" artist profiles on Spotify for some reason—been hoping to get this fixed for awhile now.",PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,REQUEST_INFO_AND_REDIRECT_DM,ESCALATED,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0066,1778505,⚠️ @115888 urgendly needs a 'party-playlist mode' which does not allow non-DJs to meddle w/ a playlist in the middle of a song @70623,PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,ESCALATE_INTERNAL,ESCALATED,True,ESCALATE,Medium,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0067,2038960,"I really need @115888 to bring back the playlist feature on the Roku app. 

🗣Spotify really isn’t the same without access to it’s playlists.",PLAYLIST_LIBRARY_CATALOG,True,False,False,False,Smart TV/Console,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0068,1698028,"@115888 make a ""random playlist"" button",PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,ESCALATE_INTERNAL,ESCALATED,True,ESCALATE,Medium,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0069,1666497,@115888 should have a way to filter your library by genre 🤔,PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,PROVIDE_GENERAL_ASSISTANCE,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0070,1778478,@115888 when are you guys going to release @118062 new album?,PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
GOLD_0071,2219850,Hey @SpotifyCares what do I do if I think a band has an album listed under them on your service that isn’t actually them?,PLAYLIST_LIBRARY_CATALOG,True,False,False,False,unknown,LOW,PROVIDE_INSTRUCTIONS,UNRESOLVED_OPEN,False,AUTO-HANDLE,Easy,Stratified held-out test case for PLAYLIST_LIBRARY_CATALOG. Ground truth verified from dialogue trajectory.
