id,conversation_id,customer_message,intent,state_device_type,historical_action,modern_action,expected_drift_flag,notes
DRIFT_011,1778503,"@115888 @117168 I’ve been trying to cancel my subscription for two months now, and this makes the third month you’ve charged me. Send help! SOS",SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_012,1384526,@SpotifyCares hey there. I see you're offering premium for 99 cents for 3 months. Can you apply that to my current premium account?,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_013,1842978,"Hey @115888, my both accounts are premium. What do I do now? https://t.co/nlBVFOwNz2",SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_014,1736600,@SpotifyCares I cancelled my subscription but was still charged 🙁,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_015,1736598,@SpotifyCares Trying to buy premium on a Visa gift card with enough money on it for premium.  I have checked on the balance status site numerous times but the payment method won't accept.  What's the deal?,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_016,2466924,@SpotifyCares hey my names John I keep getting charges from spotify that I don't want I don't remember my login stuff to remove my card from the account is there anyway y'all can help,SUBSCRIPTION_BILLING_PREMIUM,unknown,REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_017,2466936,@117153 what is going on. Cannot login. I am premium user not able to use your Services.,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_018,1790143,@SpotifyCares Hey Spotify team! I recently upgraded to Premium on one of the black friday deals and I'm still getting a fair amount of ads. Any idea what might be up? Thanks!,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_019,1790145,@115888 hey Spotify if I get the 3 month premium trial does it also include playing any song I want?,SUBSCRIPTION_BILLING_PREMIUM,unknown,PROVIDE_INSTRUCTIONS,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_020,44304,"Ah, wonderful. A random person is listening to my @115888 Premium account in France. No idea how I've been hacked, but suppose it can happen on any service.",SUBSCRIPTION_BILLING_PREMIUM,unknown,PROVIDE_INSTRUCTIONS,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_021,1950478,"@SpotifyCares I have a paid subscription but it is still saying it’s a free account and playing ads, no skips etc.
Can someone please help?",SUBSCRIPTION_BILLING_PREMIUM,unknown,REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_022,1950482,@SpotifyCares I signed up for Premium 3 month trial two days ago. I am getting advertisements on my iPad. Why,SUBSCRIPTION_BILLING_PREMIUM,iPad,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_023,2038953,"@SpotifyCares Hi, I have question about my account - I have two accounts and one is premium but I can't remember the log in details. I can see the payments lifting from my bank account... can you help?",SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_024,1778457,"@SpotifyCares Hello, I saw an ad saying 99 cents for 3 months. I clicked on it and it took me to page where I logged in ( new user, never been activated for premium ). I was charged 9.99 on my credit card. __email__ is the email",SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_025,2108118,@SpotifyCares hi am having problems with upgrading to premium.. I was on  trail for 7days its over now I've tried to upgrade keeps saying card failed.. Do we now have to pay straight away when upgrading??,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_026,1666485,@117153 I'm trying to buy spotify premium and it is not letting my payment go through.,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_027,2164327,@SpotifyCares So I am a previous member of Spotify premium but had cancelled my membership due to not wanting to pay at the time. So now I have a new phone and am trying to log in to Spotify and it says my email is used by a Facebook login. So I try logging in via Facebook...,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_028,2201026,@SpotifyCares if i cant use my australian card to buy the upgrade why keep telling me to upgrade and keep showing ad's maybe fix it or release australian cards so i can buy it without ad's,SUBSCRIPTION_BILLING_PREMIUM,unknown,REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_029,1630494,@spotifycares trying to buy a premium gift card and your web site check out is not working. Can you assist?,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_030,1778465,@SpotifyCares and they have been being charged since 2013 with almost 0 use of Spotify.,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_031,1698015,@115888 All songs keep cutting in and out. Updated app and still happening. Only happening to audio from spotify. Please look into this.,PLAYBACK_STREAMING_AUDIO,unknown,REQUEST_INFORMATION,PROVIDE_INSTRUCTIONS,False,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_032,1736602,"@SpotifyCares are there any plans to fix the ps4 app? It is horrible compared to the mobile app. Freezes all the time, doesn't play music when tracks change sometime, just a disappointing product overall.",PLAYBACK_STREAMING_AUDIO,Smart TV/Console,TROUBLESHOOT_UPDATE,PROVIDE_INSTRUCTIONS,False,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_033,1790137,HELLO????? SKIP ADS? ANYONE THERE? @115888,PLAYBACK_STREAMING_AUDIO,unknown,REQUEST_INFO_AND_REDIRECT_DM,PROVIDE_INSTRUCTIONS,False,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_034,1790132,Am I the one with HUGE problems with @115888 (songs that don't play or suddenly stop playing) when using a Chromecast? @SpotifyCares,PLAYBACK_STREAMING_AUDIO,Smart TV/Console,REQUEST_INFORMATION,PROVIDE_INSTRUCTIONS,False,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_035,1822610,"Why does @115888 seem to think that when I put in and hit shuffle play on something specific that I want to hear ""suggested songs""? If I wanted something suggested because the artist has other stuff then I would go to the artists other stuff. Get your crap together @115888",PLAYBACK_STREAMING_AUDIO,unknown,REQUEST_INFO_AND_REDIRECT_DM,PROVIDE_INSTRUCTIONS,False,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
